k,pca_var,init,n_init,silhouette,davies_bouldin,calinski_harabasz,inertia,stability_ari_mean,stability_ari_std
5,None,k-means++,20,0.16826052688650978,1.8158826213176937,128.83242883831682,10219.949686073262,0.9190737187714454,0.021663410244457105
8,0.9,k-means++,20,0.14248928247944434,1.7236653688492412,119.63294060825015,7446.878087810783,0.7128000281905473,0.16669485598657416
8,0.9,k-means++,50,0.14248928247944434,1.7236653688492412,119.63294060825015,7446.878087810783,0.6485642923774725,0.1529071405262081
9,0.9,k-means++,20,0.13506748414888237,1.686313694999291,113.05304951625713,7148.701112404709,0.6118893724740446,0.13368869614983772
9,0.9,k-means++,50,0.13506748414888237,1.686313694999291,113.05304951625713,7148.701112404709,0.5495695467177435,0.06973676618368194
10,0.9,k-means++,50,0.1340699864043215,1.6347460811071284,107.46225134050648,6889.433050250994,0.6658924457806462,0.1162603745278031
6,0.9,k-means++,50,0.13360290241567682,1.7895257525091353,137.47551639617515,8209.711310722307,0.785972350177073,0.11993986719147433
6,0.9,k-means++,20,0.13360290241567682,1.7895257525091353,137.47551639617515,8209.711310722307,0.7818766210899998,0.10486087064622353
7,0.9,k-means++,20,0.1326098991870515,1.7165620943232855,127.58742839951242,7794.5908892686075,0.7646641684607285,0.09219243674011149
7,0.9,k-means++,50,0.1326098991870515,1.7165620943232855,127.58742839951242,7794.5908892686075,0.7564324153323857,0.08457936450444077
7,None,k-means++,50,0.1263731281198001,1.8986986686223226,107.73776858870688,9282.606034233422,0.6820440943579479,0.06452300262116292
10,0.9,k-means++,20,0.12628426340657925,1.6601855853766665,106.79708552181567,6912.9313152597115,0.5775400668223575,0.07477507812150173
9,0.95,k-means++,50,0.12622088320041105,1.6496546013804843,101.44846533939793,7989.030659617075,0.5116898160922261,0.0642128381663558
9,0.95,k-means++,20,0.12622088320041105,1.6496546013804843,101.44846533939793,7989.030659617075,0.5011271013177946,0.0964022830110363
7,0.95,k-means++,20,0.12475509711114595,1.8491280889236437,115.61329621931637,8631.879412191194,0.6599225544265159,0.09603727353945014
7,None,k-means++,20,0.12445986094231395,1.9268319265471021,107.70731297752201,9283.78133431055,0.551476006817423,0.03908951003450854
10,0.95,k-means++,20,0.12375534656376373,1.696333427023335,95.6458575234532,7746.455948769574,0.615173686993238,0.12084520433309354
7,0.95,k-means++,50,0.12226647778457503,1.8410161176602595,115.64456449703906,8630.793182771653,0.736311854302697,0.16678483704201272
6,0.95,k-means++,50,0.12025203401880265,1.9045310602454375,124.7756982663642,9060.909853723711,0.7743630702813363,0.060749058650174
6,0.95,k-means++,20,0.12025203401880265,1.9045310602454375,124.7756982663642,9060.909853723711,0.7380560691826834,0.05987844026987658
8,None,k-means++,20,0.11665253061092093,1.930423722990508,99.75867874454308,8955.265208063805,0.5336767280130662,0.02481453541672046
8,0.95,k-means++,50,0.11565021822103769,1.7901368561665625,107.70001213955534,8291.646314253258,0.5651538801655895,0.018562006672064195
8,0.95,k-means++,20,0.11464558331023851,1.861549802138518,107.20225774667449,8310.328497635612,0.5129373107998765,0.06453526745590583
9,None,k-means++,20,0.1143874434042772,1.8797199477378967,94.03240834110557,8637.94315144044,0.5722075138323449,0.11661988314947848
6,None,k-means++,50,0.11376499785879354,1.9762714865391866,116.58550666172268,9714.899402330684,0.80350489758047,0.04309752137099666
6,None,k-means++,20,0.11376499785879354,1.9762714865391866,116.58550666172268,9714.899402330684,0.7711890569386006,0.07560840547111364
10,0.95,k-means++,50,0.11251788484077832,1.6839260378052963,97.17394727135763,7682.60738086096,0.49990511043070107,0.047727195174165855
8,None,k-means++,50,0.1068166098193891,1.873246350132858,100.32314022678212,8931.64829970788,0.6793844893284073,0.14915305310095672
10,None,k-means++,20,0.10552652602216248,1.7195234639151848,90.15500221054134,8314.667684466674,0.5034188658773566,0.07007114095697663
10,None,k-means++,50,0.10552652602216248,1.7195234639151848,90.15500221054134,8314.667684466674,0.4363461109241656,0.026206831724353393
9,None,k-means++,50,0.10530948291478388,1.6977070210148377,94.93697237589132,8597.731667743483,0.5483839115850874,0.07829836718611341
